Titulo,Autor,ImgUrl,SiteUrl,Preco
"Pai rico, pai pobre: Edição de 20 anos atualizada e ampliada",Robert T. Kiyosaki,"https://images-na.ssl-images-amazon.com/images/I/61IyVwT%2BrRL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Pai-rico-pai-pobre-anos/dp/8550801488/ref=zg_bs_books_1/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 25,99"
O homem mais rico da Babilônia,George S Clason,"https://images-na.ssl-images-amazon.com/images/I/81HKcvLn15L._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Homem-Mais-Rico-Babil%C3%B4nia/dp/8595081530/ref=zg_bs_books_2/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 14,90"
Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,"https://images-na.ssl-images-amazon.com/images/I/91yEPgRcELL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Os-sete-maridos-Evelyn-Hugo/dp/8584391509/ref=zg_bs_books_3/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 29,90"
Orgulho e preconceito,Jane Austen,"https://images-na.ssl-images-amazon.com/images/I/719esIW3D7L._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Orgulho-Preconceito-Jane-Austen/dp/8544001823/ref=zg_bs_books_4/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 27,39"
Especialista em pessoas: Soluções bíblicas e inteligentes para lidar com todo tipo de gente,Tiago Brunet,"https://images-na.ssl-images-amazon.com/images/I/81A6qTcEONL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Especialista-pessoas-Solu%C3%A7%C3%B5es-b%C3%ADblicas-inteligentes/dp/8542218752/ref=zg_bs_books_5/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 22,38"
12 regras para a vida: Um antídoto para o caos,Jordan B. Peterson,"https://images-na.ssl-images-amazon.com/images/I/51DSFiydE-L._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Regras-Para-Vida-Ant%C3%ADdoto-Caos/dp/8550802751/ref=zg_bs_books_6/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,80"
Mulheres que correm com os lobos,Clarissa Pinkola Estés,"https://images-na.ssl-images-amazon.com/images/I/7121bMhcNKL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Mulheres-que-Correm-com-Lobos/dp/853252978X/ref=zg_bs_books_7/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 33,99"
As obras revolucionárias de George Orwell - Box com 3 livros,George Orwell,"https://images-na.ssl-images-amazon.com/images/I/71QklZF9T6L._AC_UL200_SR200,200_.jpg",www.amazon.com.br/As-obras-revolucion%C3%A1rias-George-Orwell/dp/B08ZK6N3XZ/ref=zg_bs_books_8/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,90"
Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,Napoleon Hill,"https://images-na.ssl-images-amazon.com/images/I/71c4clNHGYL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Mais-esperto-que-Diabo-liberdade/dp/8568014003/ref=zg_bs_books_9/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,90"
Torto arado,Itamar Vieira Junior,"https://images-na.ssl-images-amazon.com/images/I/61L7EiP8kEL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Torto-arado-Itamar-Vieira-Junior/dp/6580309318/ref=zg_bs_books_10/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 35,60"
