Titulo,Autor,ImgUrl,SiteUrl,Preco
O código Da Vinci,Dan Brown,https://m.media-amazon.com/images/I/710DjekSUkL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_1?ie=UTF8&adId=A095788937Y1WBJ3877BJ&url=%2Fc%25C3%25B3digo-Vinci-Dan-Brown%2Fdp%2F6555651040%2Fref%3Dsr_1_1_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_1%26keywords%3Ddan%2Bbrown%26qid%3D1638805660%26s%3Dbooks%26sr%3D1-1-spons%26psc%3D1&qualifier=1638805660&id=2199526627316917&widgetName=sp_atf,"R$ 19,95"
O terceiro gêmeo,Ken Follett,https://m.media-amazon.com/images/I/81HGFYD5iRL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_1?ie=UTF8&adId=A09566852JFRDYO3IA6UI&url=%2Fterceiro-g%25C3%25AAmeo-Ken-Follett%2Fdp%2F6555652063%2Fref%3Dsr_1_2_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_1%26keywords%3Ddan%2Bbrown%26qid%3D1638805660%26s%3Dbooks%26sr%3D1-2-spons%26psc%3D1&qualifier=1638805660&id=2199526627316917&widgetName=sp_atf,"R$ 36,60"
Origem (Robert Langdon),Dan Brown,https://m.media-amazon.com/images/I/81Y3DwapTVL._AC_UY218_.jpg,www.amazon.com.br/Origem-Dan-Brown/dp/858041766X/ref=sr_1_3?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-3,"R$ 43,90"
O símbolo perdido,Dan Brown,https://m.media-amazon.com/images/I/91yUh4+m2gL._AC_UY218_.jpg,www.amazon.com.br/s%C3%ADmbolo-perdido-Dan-Brown/dp/6555650699/ref=sr_1_4?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-4&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,"R$ 19,90"
Ponto de Impacto,Dan Brown,https://m.media-amazon.com/images/I/716SIRfELkS._AC_UY218_.jpg,www.amazon.com.br/Ponto-Impacto-Dan-Brown/dp/8599296019/ref=sr_1_5?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-5,"R$ 36,10"
Anjos e demônios (Robert Langdon),Dan Brown,https://m.media-amazon.com/images/I/91mqo8pialL._AC_UY218_.jpg,www.amazon.com.br/Anjos-dem%C3%B4nios-Dan-Brown/dp/8575421468/ref=sr_1_6?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"R$ 35,91"
Sinfonia dos animais,Dan Brown,https://m.media-amazon.com/images/I/91opv6ZanwS._AC_UY218_.jpg,www.amazon.com.br/Sinfonia-dos-animais-Dan-Brown/dp/6555650109/ref=sr_1_7?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-7,"R$ 29,00"
O código Da Vinci,Dan Brown,https://m.media-amazon.com/images/I/710DjekSUkL._AC_UY218_.jpg,www.amazon.com.br/c%C3%B3digo-Vinci-Dan-Brown/dp/6555651040/ref=sr_1_8?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-8,"R$ 19,95"
Inferno (Robert Langdon),Dan Brown,https://m.media-amazon.com/images/I/71NoHFvBj-L._AC_UY218_.jpg,www.amazon.com.br/Inferno-Dan-Brown/dp/8580416299/ref=sr_1_9?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-9,"R$ 50,00"
Inferno: Featuring Robert Langdon: 4,Dan Brown,https://m.media-amazon.com/images/I/A1yLZ8yNC2L._AC_UY218_.jpg,www.amazon.com.br/Inferno-Dan-Brown/dp/0385537859/ref=sr_1_10?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-10&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,"R$ 74,99"
Não fale com estranhos: Livro que está na Netflix,Harlan Coben,https://m.media-amazon.com/images/I/910k7aIby1L._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg1_1?ie=UTF8&adId=A0956349UZBRR8X0QP9P&url=%2FN%25C3%25A3o-fale-estranhos-Harlan-Coben%2Fdp%2F8580415713%2Fref%3Dsr_1_11_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_1%26keywords%3Ddan%2Bbrown%26qid%3D1638805660%26s%3Dbooks%26sr%3D1-11-spons%26psc%3D1&qualifier=1638805660&id=2199526627316917&widgetName=sp_mtf,"R$ 17,90"
Desaparecido para sempre: Livro que está na Netflix,Harlan Coben,https://m.media-amazon.com/images/I/71cTjvZ35ZL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg1_1?ie=UTF8&adId=A09561613LPM13UPL684Z&url=%2FDesaparecido-para-sempre-Harlan-Coben%2Fdp%2F8530600479%2Fref%3Dsr_1_12_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_1%26keywords%3Ddan%2Bbrown%26qid%3D1638805660%26s%3Dbooks%26sr%3D1-12-spons%26psc%3D1&qualifier=1638805660&id=2199526627316917&widgetName=sp_mtf,"R$ 19,90"
BOX VINGADORES TODOS QUEREM DOMINAR O MUNDO,Dan Abnett; Alisa Kwitney,https://m.media-amazon.com/images/I/61zrbyAF4HL._AC_UY218_.jpg,www.amazon.com.br/VINGADORES-TODOS-QUEREM-DOMINAR-MUNDO/dp/8542810260/ref=sr_1_13?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-13,"R$ 34,99"
A Ordem,Daniel Silva,https://m.media-amazon.com/images/I/910zpa+QoeL._AC_UY218_.jpg,www.amazon.com.br/Ordem-Daniel-Silva/dp/6555111070/ref=sr_1_14?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-14,"R$ 28,30"
O terceiro gêmeo,Ken Follett,https://m.media-amazon.com/images/I/81HGFYD5iRL._AC_UY218_.jpg,www.amazon.com.br/terceiro-g%C3%AAmeo-Ken-Follett/dp/6555652063/ref=sr_1_15?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-15,"R$ 36,60"
Pra você que teve um dia ruim,Victor Fernandes,https://m.media-amazon.com/images/I/81qyydZ7nXL._AC_UY218_.jpg,www.amazon.com.br/Pra-voc%C3%AA-que-teve-ruim/dp/8542215273/ref=sr_1_16?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-16,"R$ 20,00"
"Mulheres, Mitos e Deusas: O feminino através dos tempos",Martha Robles,https://m.media-amazon.com/images/I/71eeJ8Gtm-L._AC_UY218_.jpg,www.amazon.com.br/Mulheres-Mitos-Deusas-feminino-atrav%C3%A9s/dp/8576574543/ref=sr_1_17?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-17&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,"R$ 38,99"
Templários: Ascensão e queda dos guerreiros sagrados de Deus,Dan Jones,https://m.media-amazon.com/images/I/81gqXcz1hZL._AC_UY218_.jpg,www.amazon.com.br/Templ%C3%A1rios-Ascens%C3%A3o-queda-guerreiros-sagrados/dp/6555354577/ref=sr_1_18?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-18,"R$ 55,90"
1984,George Orwell,https://m.media-amazon.com/images/I/61t0bwt1s3L._AC_UY218_.jpg,www.amazon.com.br/1984-George-Orwell/dp/6555522267/ref=sr_1_19?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-19,"R$ 13,90"
